spp,stand,plot,code,dbh,logs,cond,cut,
fir,,,3,8,2222,2,,
paper birch,,,13,14,1239,3,,
spruce,,,18,13,22222,2,,
spruce,,,18,7,22,3,,
spruce,,,18,9,22222,3,,
fir,,7,3,10,22229,6,,
soft maple,,,17,20,9,5,,
soft maple,,,17,12,329,3,,
hard maple,,,9,14,9,5,,
hard maple,,,9,16,239,3,,
soft maple,,,17,18,9,5,,
hard maple,,,9,13,129,2,,
hard maple,,,9,14,39,5,,
hard maple,,,9,10,229,3,,
hard maple,,,9,10,12239,2,,
hard maple,,,9,13,22339,2,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,gry birch
